Estimated incidence by cancer - summary
" Spain, Both sexes, All ages, Baseline"
"Cancer","Population 2020","Population 2040","Cases 2020","Cases 2040","Relative change",
"All sites but non-melanoma skin",45794180,49377094,260455,356278,"36.8 %",
"Bladder",45794180,49377094,18512,27609,"49.1 %",
"Brain cns",45794180,49377094,4420,5604,"26.8 %",
"Breast",45794180,49377094,34088,40568,"19 %",
"Cervix uteri",45794180,49377094,1957,2146,"9.7 %",
"Colorectum",45794180,49377094,40441,57884,"43.1 %",
"Corpus uteri",45794180,49377094,6597,8668,"31.4 %",
"Gallbladder",45794180,49377094,721,1090,"51.2 %",
"Hodgkin",45794180,49377094,1300,1430,"10 %",
"Hypopharynx",45794180,49377094,1025,1268,"23.7 %",
"Kidney",45794180,49377094,8554,11350,"32.7 %",
"Larynx",45794180,49377094,2810,3745,"33.3 %",
"Leukaemia",45794180,49377094,5935,8228,"38.6 %",
"Lip, oral cavity",45794180,49377094,4814,6619,"37.5 %",
"Liver",45794180,49377094,6641,9290,"39.9 %",
"Lung",45794180,49377094,29188,40717,"39.5 %",
"Melanoma of skin",45794180,49377094,5728,7176,"25.3 %",
"Multiple myeloma",45794180,49377094,3214,4707,"46.5 %",
"Nasopharynx",45794180,49377094,442,493,"11.5 %",
"Non-Hodgkin lymphoma",45794180,49377094,8202,10796,"31.6 %",
"Oesophagus",45794180,49377094,2258,3076,"36.2 %",
"Oropharynx",45794180,49377094,1183,1561,"32 %",
"Ovary",45794180,49377094,3513,4429,"26.1 %",
"Pancreas",45794180,49377094,8211,11914,"45.1 %",
"Penis",45794180,49377094,506,741,"46.4 %",
"Prostate",45794180,49377094,34613,51018,"47.4 %",
"Salivary glands",45794180,49377094,589,808,"37.2 %",
"Stomach",45794180,49377094,6981,10124,"45 %",
"Testis",45794180,49377094,1093,1075,"-1.6 %",
"Thyroid",45794180,49377094,5063,5582,"10.3 %",
"Vagina",45794180,49377094,150,202,"34.7 %",
"Vulva",45794180,49377094,1018,1355,"33.1 %",
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 25/0/2023
(C) European union, 2023"
