column 1,column 2,column 3,column 4
Año,Periodo,Parámetro,Cáncer
2021,Año,Andalucía,47.527
2021,Año,Aragón,8.670
2021,Año,Asturias,7.624
2021,Año,Canarias,12.002
2021,Año,Cantabria,3.917
2021,Año,Castilla y León,17.884
2021,Año,Castilla-La Mancha,12.319
2021,Año,Cataluña,45.147
2021,Año,Ceuta,372
2021,Año,Comunidad Valenciana,30.456
2021,Año,Extremadura,6.886
2021,Año,Galicia,19.718
2021,Año,Islas Baleares,6.130
2021,Año,La Rioja,2.057
2021,Año,Madrid,37.702
2021,Año,Melilla,350
2021,Año,Murcia,7.905
2021,Año,Navarra,4.029
2021,Año,País Vasco,14.834
